"Variable","ClassVal0","Estimate"
"Intercept",NA,-1.0705136486516
"r1stchildethn",2,0.271694559896616
"r1stchildethn",3,1.03447657575191
"r1stchildethn",4,-0.344221562042354
"z1breast",1,-0.0840592866736917
"r1ParentEduc",2,6.66133814775094e-16
"r1ParentEduc",3,0.527116100338601
"SESBTH",2,-1.55431223447522e-15
"SESBTH",3,0.280039909462098
"z1pregsmk",1,0.149458345956898
"z1HighBw",1,0.275058174288359
"z1LowBw",1,-0.0796856419694861
"z1Caesarean",1,0.120803136316028
"r1Sleep",2,-0.247200952386935
"r1Sleep",3,-0.171451107106417
"z1WatchTV",1,0.673307162126605
