"Variable","ClassVal0","Estimate"
"Intercept",NA,-1.20393157607519
"r1stchildethn",2,0.260248225775945
"r1stchildethn",3,0.991630338264406
"r1stchildethn",4,-0.33280083953373
"z1breast",1,-0.164276904617228
"r1ParentEduc",2,-9.99200722162641e-16
"r1ParentEduc",3,0.508547158405983
"SESBTH",2,1.33226762955019e-15
"SESBTH",3,0.267130444996329
"z1pregsmk",1,0.172399204499473
"z1HighBw",1,0.394783663438974
"z1LowBw",1,0.206668300674386
"z1Caesarean",1,0.170051508417072
"r1Sleep",2,-0.063470465681943
"r1Sleep",3,-0.431484952053097
"z1WatchTV",1,0.370244052903415
